altitude,latitude,longitude,station
145.218811035156,43.5813522826386,1.42532582828071,00189-muret-boutinon
149.0,43.5828316867687,1.4486342343268,00157-urss-peyrouset
145.611434936523,43.59253,1.4429,00069-feuga
141.108444213867,43.610549420565,1.4795004816774,00181-plana-garnier
150.409820556641,43.6073520535788,1.44426962055132,00014-perigord
168.179534912109,43.5790692296515,1.48366977505485,00200-place-de-lormeau
155.73860168457,43.617438678162,1.46539185105244,00177-baillaud-brunaud
157.426361083984,43.6074334874013,1.45418901792343,00063-piscine-leo-lagrange
141.617568969727,43.6269176821576,1.43422515075725,00125-barriere-de-paris
145.333358764648,43.6137551768982,1.43815704623552,00110-cabanel-serres
139.0,43.6139591317585,1.42494122409628,00145-gounod-garros
143.896270751953,43.622937795416,1.43447369218877,00132-minimes-bilard
150.557739257812,43.6142,1.39709,00278-arenes-romaine
183.397888183594,43.5835061592342,1.48781984362323,00211-le-dormeur-la-terrasse
152.816009521484,43.5694372511346,1.45608644597044,00232-narbonne-mirouse
149.722518920898,43.5739249402029,1.45199938638325,00160-theatre-jules-julien
157.798446655273,43.58171,1.38887,00275-place-des-pradettes
142.236434936523,43.609967343094,1.41952485320812,00119-chapou
150.532012939453,43.609650036285,1.4460768798733,00034-saint-lazare
148.345306396484,43.5883597911033,1.44648316566718,00116-st-michel-notre-dame
147.088897705078,43.56793,1.41325,00265-passage-bordelongue
140.391586303711,43.6240934016593,1.45469851782125,00167-lapujade-flandres
143.238815307617,43.6169269653032,1.44452816744598,00148-collignon
149.573379516602,43.5923551244955,1.44921573214618,00113-museum-lamarck
153.991683959961,43.57452,1.48278,00267-gonin
155.669250488281,43.6008250248339,1.45065484986121,00099-rempart-st-etienne
131.899887084961,43.6039053241883,1.42014176036044,00246-wagner-jean-brunhes
142.0,43.6097533618248,1.43038955523714,00107-sebastopol
147.042434692383,43.6135903725318,1.44648549845186,00059-concorde
145.047332763672,43.6153685849135,1.44848670955268,00149-raisin-minimes
141.649520874023,43.5981218685879,1.43141523075012,00078-place-int-st-cyp-darre
147.128463745117,43.5746121327025,1.40230245215212,00220-tabar-universite
190.720916748047,43.5894669821434,1.47891428600469,00209-baroux-darasse
145.760055541992,43.5993837281482,1.4404611064057,00027-quai-de-tounis
146.191268920898,43.6270484665083,1.46551733837382,00185-roubichou-arles
147.301040649414,43.6115840875899,1.43973757987972,00091-arcole-balance
159.841720581055,43.59666,1.4842,00256-place-de-la-rontonde
147.737945556641,43.56507,1.41028,00264-lafourguette
147.285659790039,43.583869085,1.44363507885745,00155-recollets
151.027267456055,43.6047176042045,1.44962961992086,00020-carnot-trois-journees
140.139633178711,43.5945697376338,1.44092005936714,00050-garonnette
143.928100585938,43.5962847638637,1.43207510606875,00073-fitte-teinturiers
155.47526550293,43.61184,1.45752,00005-leduc
149.604385375977,43.6076503341721,1.44120957382546,00032-musee-st-raymond
158.914779663086,43.5834192540153,1.47007784484393,00203-st-ex-petit-prince
145.068649291992,43.6276035873514,1.46190795364139,00218-amouroux-ste-augustine
154.424377441406,43.597401475499,1.44531564933145,00046-place-des-carmes
152.221221923828,43.6061069288979,1.44806182530315,00017-strasbourg-sardane
148.0,43.5906050822776,1.44517443093758,00103-st-michel-st-catherine
134.842651367188,43.62413,1.42778,00270-silvio-trentin
146.552536010742,43.5768679202236,1.46018774206711,00165-place-des-avions
151.584274291992,43.6107181009107,1.45245582657197,00061-bonrepos
151.498489379883,43.5999902710412,1.45409382428697,00043-dupuy
141.984466552734,43.5968529566207,1.42588227328992,00117-billieres-poste
151.2197265625,43.60459,1.44002,00012-pargaminieres
144.514541625977,43.5967933131942,1.42413938578505,00130-billieres-patte-d-oie
151.725799560547,43.6062971877073,1.44824440833033,00018-strasbourg-jean-jaures
134.106735229492,43.6172496485261,1.40812446002856,00240-rte-de-blagnac-job
152.657180786133,43.5964782221076,1.45109333987327,00066-jardin-royal
141.885971069336,43.6080202785365,1.42845023144365,00086-heracles-bearnais
173.479888916016,43.5858861382135,1.47508540800772,00205-cottage-rieux
138.728805541992,43.63805,1.44442,283-place-micouleau
142.595489501953,43.6207359687829,1.43559731146744,00133-marche-aux-cochons
150.570266723633,43.5814592115875,1.46219446466743,00163-bedouce-midi
135.208465576172,43.6145897946337,1.41135959175025,00219-puccini-blagnac
156.217147827148,43.6015881749557,1.45604810026783,00042-dauriac-escande
151.071334838867,43.5672211537085,1.46767832356047,00230-rangueil-tripode-b
155.136764526367,43.5980475392432,1.4430051339937,00026-dalbade-de-gorsse
142.423324584961,43.613472358331,1.43012018726601,00122-passerelle-haedens
141.600021362305,43.6041904083899,1.40721128992902,00226-fontaines-casselardit
185.789886474609,43.614208387732,1.4616307898919,00251-blum-jouhaux
140.275207519531,43.61354,1.40142,00279-guy-espagno
149.747436523438,43.5898035523317,1.45594544810994,00127-begue-demoiselles
148.531677246094,43.6138291280336,1.45147977926632,00094-semard-gare-routiere
142.549880981445,43.6059308324773,1.48195716205181,00182-chaubet
147.995910644531,43.6034370674356,1.43608066156889,00028-place-saint-pierre
142.131942749023,43.58807,1.42438,00142-severac
141.976913452148,43.6020509196015,1.41453135957146,00136-fontaines
155.696884155273,43.6023360927912,1.44204743783866,00004-ste-ursule
149.087127685547,43.5628140764194,1.47517386253435,00222-cambou-roche
137.582595825195,43.63539,1.47297,00272-andre-vasseur
149.178817749023,43.6106186453129,1.44363712569744,00058-concorde-arcole
149.421844482422,43.6104884274257,1.4431072280246,00057-merly-arcole
139.125274658203,43.5997038676742,1.42927516850992,00080-fitte-varsi
